dataset,column_name,column_type,null,key,default,extra
listings_detailed,id,BIGINT,YES,,,
listings_detailed,listing_url,VARCHAR,YES,,,
listings_detailed,scrape_id,BIGINT,YES,,,
listings_detailed,last_scraped,DATE,YES,,,
listings_detailed,source,VARCHAR,YES,,,
listings_detailed,name,VARCHAR,YES,,,
listings_detailed,description,VARCHAR,YES,,,
listings_detailed,neighborhood_overview,VARCHAR,YES,,,
listings_detailed,picture_url,VARCHAR,YES,,,
listings_detailed,host_id,BIGINT,YES,,,
listings_detailed,host_url,VARCHAR,YES,,,
listings_detailed,host_profile_id,BIGINT,YES,,,
listings_detailed,host_profile_url,VARCHAR,YES,,,
listings_detailed,host_name,VARCHAR,YES,,,
listings_detailed,host_since,VARCHAR,YES,,,
listings_detailed,hosts_time_as_user_years,BIGINT,YES,,,
listings_detailed,hosts_time_as_user_months,BIGINT,YES,,,
listings_detailed,hosts_time_as_host_years,BIGINT,YES,,,
listings_detailed,hosts_time_as_host_months,BIGINT,YES,,,
listings_detailed,host_location,VARCHAR,YES,,,
listings_detailed,host_about,VARCHAR,YES,,,
listings_detailed,host_response_time,VARCHAR,YES,,,
listings_detailed,host_response_rate,VARCHAR,YES,,,
listings_detailed,host_acceptance_rate,VARCHAR,YES,,,
listings_detailed,host_is_superhost,BOOLEAN,YES,,,
listings_detailed,host_thumbnail_url,VARCHAR,YES,,,
listings_detailed,host_picture_url,VARCHAR,YES,,,
listings_detailed,host_neighbourhood,VARCHAR,YES,,,
listings_detailed,host_listings_count,BIGINT,YES,,,
listings_detailed,host_total_listings_count,VARCHAR,YES,,,
listings_detailed,host_verifications,VARCHAR,YES,,,
listings_detailed,host_has_profile_pic,BOOLEAN,YES,,,
listings_detailed,host_identity_verified,BOOLEAN,YES,,,
listings_detailed,neighbourhood,VARCHAR,YES,,,
listings_detailed,neighbourhood_cleansed,VARCHAR,YES,,,
listings_detailed,neighbourhood_group_cleansed,VARCHAR,YES,,,
listings_detailed,latitude,DOUBLE,YES,,,
listings_detailed,longitude,DOUBLE,YES,,,
listings_detailed,property_type,VARCHAR,YES,,,
listings_detailed,room_type,VARCHAR,YES,,,
listings_detailed,accommodates,BIGINT,YES,,,
listings_detailed,bathrooms,DOUBLE,YES,,,
listings_detailed,bathrooms_text,VARCHAR,YES,,,
listings_detailed,bedrooms,BIGINT,YES,,,
listings_detailed,beds,BIGINT,YES,,,
listings_detailed,amenities,VARCHAR,YES,,,
listings_detailed,price,VARCHAR,YES,,,
listings_detailed,price_quote_checkin_date,DATE,YES,,,
listings_detailed,price_quote_checkout_date,DATE,YES,,,
listings_detailed,price_quote_total_price,DOUBLE,YES,,,
listings_detailed,price_quote_price_per_night,DOUBLE,YES,,,
listings_detailed,price_quote_raw,VARCHAR,YES,,,
listings_detailed,minimum_nights,BIGINT,YES,,,
listings_detailed,maximum_nights,BIGINT,YES,,,
listings_detailed,minimum_minimum_nights,BIGINT,YES,,,
listings_detailed,maximum_minimum_nights,BIGINT,YES,,,
listings_detailed,minimum_maximum_nights,BIGINT,YES,,,
listings_detailed,maximum_maximum_nights,BIGINT,YES,,,
listings_detailed,minimum_nights_avg_ntm,DOUBLE,YES,,,
listings_detailed,maximum_nights_avg_ntm,DOUBLE,YES,,,
listings_detailed,calendar_updated,VARCHAR,YES,,,
listings_detailed,has_availability,BOOLEAN,YES,,,
listings_detailed,availability_30,BIGINT,YES,,,
listings_detailed,availability_60,BIGINT,YES,,,
listings_detailed,availability_90,BIGINT,YES,,,
listings_detailed,availability_365,BIGINT,YES,,,
listings_detailed,calendar_last_scraped,DATE,YES,,,
listings_detailed,number_of_reviews,BIGINT,YES,,,
listings_detailed,number_of_reviews_ltm,BIGINT,YES,,,
listings_detailed,number_of_reviews_l30d,BIGINT,YES,,,
listings_detailed,availability_eoy,BIGINT,YES,,,
listings_detailed,number_of_reviews_ly,BIGINT,YES,,,
listings_detailed,estimated_occupancy_l365d,BIGINT,YES,,,
listings_detailed,estimated_revenue_l365d,BIGINT,YES,,,
listings_detailed,first_review,DATE,YES,,,
listings_detailed,last_review,DATE,YES,,,
listings_detailed,review_scores_rating,DOUBLE,YES,,,
listings_detailed,review_scores_accuracy,DOUBLE,YES,,,
listings_detailed,review_scores_cleanliness,DOUBLE,YES,,,
listings_detailed,review_scores_checkin,DOUBLE,YES,,,
listings_detailed,review_scores_communication,DOUBLE,YES,,,
listings_detailed,review_scores_location,DOUBLE,YES,,,
listings_detailed,review_scores_value,DOUBLE,YES,,,
listings_detailed,license,VARCHAR,YES,,,
listings_detailed,instant_bookable,VARCHAR,YES,,,
listings_detailed,calculated_host_listings_count,BIGINT,YES,,,
listings_detailed,calculated_host_listings_count_entire_homes,BIGINT,YES,,,
listings_detailed,calculated_host_listings_count_private_rooms,BIGINT,YES,,,
listings_detailed,calculated_host_listings_count_shared_rooms,BIGINT,YES,,,
listings_detailed,reviews_per_month,DOUBLE,YES,,,
calendar_detailed,listing_id,BIGINT,YES,,,
calendar_detailed,date,DATE,YES,,,
calendar_detailed,available,BOOLEAN,YES,,,
calendar_detailed,minimum_nights,BIGINT,YES,,,
calendar_detailed,maximum_nights,BIGINT,YES,,,
reviews_detailed,listing_id,BIGINT,YES,,,
reviews_detailed,id,BIGINT,YES,,,
reviews_detailed,date,DATE,YES,,,
reviews_detailed,reviewer_id,BIGINT,YES,,,
reviews_detailed,reviewer_name,VARCHAR,YES,,,
reviews_detailed,comments,VARCHAR,YES,,,
listings_summary,id,BIGINT,YES,,,
listings_summary,name,VARCHAR,YES,,,
listings_summary,host_id,BIGINT,YES,,,
listings_summary,host_profile_id,BIGINT,YES,,,
listings_summary,host_name,VARCHAR,YES,,,
listings_summary,neighbourhood_group,VARCHAR,YES,,,
listings_summary,neighbourhood,VARCHAR,YES,,,
listings_summary,latitude,DOUBLE,YES,,,
listings_summary,longitude,DOUBLE,YES,,,
