feature,importance
numeric__number_of_reviews,0.17311243607676088
numeric__bedrooms,0.11117731539499953
numeric__accommodates,0.10682973107474492
numeric__neighbourhood_avg_rating,0.08856769464141567
numeric__neighbourhood_median_price,0.08714500138244037
numeric__host_tenure_years,0.07420758969509467
numeric__review_scores_rating,0.07310509940526429
numeric__bathrooms,0.06761060579483377
numeric__occupancy_proxy,0.04635504673442571
numeric__neighbourhood_listing_count,0.04453605293330251
numeric__availability_365,0.0384233433657151
categorical__property_type_Entire cottage,0.01959089090634418
numeric__beds,0.016736477725024526
categorical__room_type_Entire home/apt,0.013600079426907198
categorical__property_type_Private room in home,0.013527880856676945
categorical__property_type_Entire townhouse,0.004102220235189473
categorical__property_type_Entire rental unit,0.003733563147343114
categorical__property_type_Entire condo,0.003266113900768594
categorical__property_type_Private room in rental unit,0.0031553921858939286
categorical__room_type_Private room,0.002600118322829684
categorical__property_type_Entire home,0.001971238665978069
categorical__room_type_Shared room,0.0015999083862822119
categorical__property_type_Entire serviced apartment,0.0007842654473431634
categorical__property_type_Room in hotel,0.0007064914882496216
categorical__property_type_Private room in condo,0.0004522620283460876
categorical__property_type_Shared room in hotel,0.0003917702077811893
categorical__property_type_Room in aparthotel,0.0003835893573437978
categorical__room_type_Hotel room,0.00033089059336468494
categorical__property_type_Room in boutique hotel,0.0002833673653722423
categorical__property_type_Boat,0.0002817192337279703
categorical__property_type_Private room in guesthouse,0.00016809969985681465
categorical__property_type_Shared room in hostel,0.00012601933524166735
categorical__property_type_Private room in townhouse,0.00012126138171842165
categorical__property_type_Entire loft,0.00011315988772725045
categorical__property_type_Room in hostel,0.00011053511866211224
categorical__property_type_Castle,9.31572140973036e-05
categorical__property_type_Entire villa,8.649397700110975e-05
categorical__property_type_Tent,8.518322440544632e-05
categorical__property_type_Entire guest suite,5.7127707637170795e-05
categorical__property_type_Entire vacation home,5.3700714512158625e-05
categorical__property_type_Tower,5.186971879684719e-05
categorical__property_type_Camper/RV,5.1046283345299926e-05
categorical__property_type_Entire cabin,4.500021227567566e-05
categorical__property_type_Private room in guest suite,4.365973608208169e-05
categorical__property_type_Campsite,3.94976017035466e-05
categorical__property_type_Tiny home,3.3852612584333113e-05
categorical__property_type_Room in serviced apartment,2.8667228782171486e-05
categorical__property_type_Entire guesthouse,2.6383521228430786e-05
categorical__property_type_Private room in bed and breakfast,2.560442114807476e-05
categorical__property_type_Private room in loft,2.265966202366875e-05
categorical__property_type_Entire bungalow,1.3555806026735026e-05
categorical__property_type_Private room in bungalow,1.2025656514656013e-05
categorical__property_type_Private room in cottage,7.373798095527991e-06
categorical__property_type_Private room in hostel,6.102688011632111e-06
categorical__property_type_Room in bed and breakfast,3.5629697102224428e-06
categorical__property_type_Private room in villa,1.9184318332778394e-06
categorical__property_type_Entire place,1.1482285937647966e-06
categorical__property_type_Yurt,6.940136982856904e-07
categorical__property_type_Farm stay,6.8774845360797e-07
categorical__property_type_Private room,6.143586907534903e-07
categorical__property_type_Barn,3.12179827155815e-07
categorical__property_type_Shared room in home,1.9107138578616143e-07
categorical__property_type_Private room in tiny home,1.6014208405215591e-07
categorical__property_type_Private room in farm stay,1.3888420053367856e-07
categorical__property_type_Hut,1.0152628966469101e-07
categorical__property_type_Private room in cabin,8.73982079815151e-08
categorical__property_type_Shared room in guesthouse,7.011009694573836e-08
categorical__property_type_Private room in vacation home,6.179254196759262e-08
categorical__property_type_Private room in casa particular,5.795714380930545e-08
