listing_id,date,comments,polarity,subjectivity,sentiment_label
1.0818604984592819e+18,2024-05-23,Very nice. Would highly reccomend. Clean and comfortable place.,,,
2647950.0,2020-03-09,Great place to  relax  and  explore Edinburgh from,,,
1.6616550428417032e+18,2026-06-01,"My stay was really good and Alfredo was very helpful and responsive, he even gave recommendations on activities that I could do while in Scotland. The house felt like home away from home.",,,
6383734.0,2022-11-20,"Great little place. <br/>Good location , good cleanliness, good space, ideal place with free parking close to a lot of Edinburghs main attractions.  <br/>No issues. <br/>Great communication. <br/>Thanks.",,,
35122952.0,2025-05-09,"appartement très  cocooning, parfait après de longues journées de marche.",,,
6.663696031307383e+17,2025-08-10,"Great location, quieter than the old town but within walking distance of the centre. Amenities were a little basic, but were fine for us as we weren’t spending much time in the flat. Given the location and time of year (festival) it was a great place to stay",,,
45794439.0,2023-08-28,We had a wonderful stay at Ilona's for the Fringe. The place is in a great location and is actually better than the pics as a little bigger than we expected. We had a lovely stay.,,,
30558669.0,2026-03-06,"Very nice and cozy room! Great location, easily  reachable by bus!",0.5140625,0.6187499999999999,positive
39721855.0,2022-12-04,"The flat was well-equipped and very cosy with plenty of space to accommodate our party of 5. Access was straightforward and the benefits of secure and dedicated parking could not be over-estimated as we saw a couple of cars parked illegally being towed away first thing in the morning of day 1.<br/>Having access to a pool and sauna was a real plus and something not to be overlooked - both were absolutely spotless and the booking system could not have been easier. Albeit somewhat chill at the beginning of December, the views from the roof terrace are well worth wrapping up for, especially if you’re a keen photographer like me.<br/>Edinburgh’s Uber taxi service worked really well if you don’t fancy walking - however it’s a straightforward enough 15 minute walk to Princes Street if you fancy the exercise. The local area where the flat is based pleasantly surprised us a bit with the sheer number and variety of bars and restaurants.<br/>All in all a very enjoyable experience.",,,
17912749.0,2019-09-29,"A lovely apartment, very close to the train station in a quiet but central location. Clean and very well equipped. A warm welcome from the host who provided plenty of information about things to see and some lovely personal touches. I highly recommend this apartment as a  great place to stay in central Edinburgh.",,,
7113676.0,2024-05-29,"We had an absolutely wonderful stay! The hosts were incredibly friendly and quick to respond to all our questions, offering helpful suggestions throughout our visit. The accommodation itself was very cozy, exceptionally clean, and located in a quiet area with a lovely view. It was equipped with everything we could possibly need, making our stay comfortable and stress-free. We thoroughly enjoyed our time here and would love to return in the future. Highly recommend!",,,
1.3094424097224246e+18,2025-09-09,Great place to stay and plenty of room to spread out. If ever traveling back to Scotland will make note of this great place to stay!,,,
1.2079963089164833e+18,2025-08-22,"It was such a pleasure to stay at Roisin's home and to be hosted by her! She is a lovely, warm, hospitable host and human, and the location of her home in Edinburgh is outstanding. Her home is lovely, and I was able to walk everywhere, but if I had wanted to take the bus, there is a bus station right across the street from her home. I'm mostly plant-based, and she went out of her way to provide vegan milk and other food options for breakfast, which I deeply appreciated. There are vegan restaurants hear her home - and so much more. The bed is so comfortable, and I slept incredibly well, too. I thoroughly enjoyed my stay and can't recommend Roisin (and Edinburgh) enough!!",,,
39989662.0,2022-07-16,We would be back there in a flash!  Super comfortable stay!!!,,,
30046973.0,2022-08-12,"Great apartment just down the hill from all the main attractions that Edinburgh has to offer.  The apartment is well presented with spacious living room and kitchen, two good sized modern bathrooms, a laundry and two bedrooms.<br/>We enjoyed our stay here.",,,
5.7364946102125485e+17,2023-12-06,"We had a wonderful stay in Edinburgh at Isaac and Derek’s place, they met us at the flat showed us around made us feel very welcome.<br/>They were very responsive over messages and sent us the most incredible list of local recommendations many of which we tried.<br/>The place was spotless, the linens were crisp and fresh smelling, the flat itself was beautifully furnished and tastefully decorated.<br/>All in all, a lovely stay and would definitely go back again! <br/>Thank you Derek and Isaac!",,,
3421514.0,2018-08-27,"Wer es blitzsauber und aufgeräumt liebt und viel Platz braucht, sollte seine Erwartungen an diese Unterkunft nicht zu hoch setzen. Wer hier Toleranz walten lässt und mit etwas weniger zurecht kommt, wird aber durch die unglaublich zugewandte, liebevolle und integrative Art von Courtney sofort überzeugt sein. Sie ist eine tolle Gastgeberin, man fühlt sich aufgehoben und gut  versorgt - nicht zuletzt durch die hauseigenen Hühner, leckeren Porridge und auch mal ein gemütliches Glas Wein. So jedenfalls ging es uns. <br/>Wir haben uns superwohl gefühlt und kommen gerne wieder - Edinburgh bleibt für uns mit diesem Fleckchen Erde im Ortsteil Trinity verbunden.",,,
1.3398487176328579e+18,2025-11-21,"Great stay for our work colleagues, we've booked this place for a few weeks now. Really handy having parking available also. It could do with a little bit of TLC but our work colleagues are happy at this property.",,,
1.0890313292903832e+18,2024-04-06,"We had a fab stay in Edinburgh! The accommodation was perfect for our needs, as a base to explore. It was in easy reach of all transport links on Princes Street. The flat was as described, cosy and compact and the kitchen was very well equipped.  Eddie was a great host, responsive and considerate - we travelled with 2x young children and gave us a heads on the location in advance.",,,
